,الشركة,السهم,القطاع,آخر سعر,نسبة التغيير,آخر تحديث
0,سامبا,1090,البنوك,29.8,-1.16%,05 أغسطس 2019
1,السعودي الفرنسي,1050,البنوك,37.5,-3.47%,05 أغسطس 2019
2,الأول,1040,البنوك,19.58,1.45%,13 يونيو 2019
3,الجزيرة,1020,البنوك,14.74,-2.12%,05 أغسطس 2019
4,الرياض,1010,البنوك,25.05,-1.96%,05 أغسطس 2019
5,ساب,1060,البنوك,36.85,-3.79%,05 أغسطس 2019
6,العربي,1080,البنوك,25.35,-1.36%,05 أغسطس 2019
7,الراجحي,1120,البنوك,66.3,-0.90%,05 أغسطس 2019
8,سيسكو,2190,النقل,15.22,-3.55%,05 أغسطس 2019
9,المصافي,2030,الطاقة,38,-0.91%,05 أغسطس 2019
10,زجاج,2150,المواد الأساسية,18,-0.66%,05 أغسطس 2019
11,نادك,6010,إنتاج الأغذية,24.3,-0.65%,05 أغسطس 2019
12,جاكو,6020,إنتاج الأغذية,11.66,-0.34%,05 أغسطس 2019
13,تبوك الزراعية,6040,إنتاج الأغذية,8.82,0.57%,05 أغسطس 2019
14,دور,4010,الخدمات الإستهلاكية,18.24,-0.33%,05 أغسطس 2019
15,أميانتيت,2160,السلع الرأسمالية,5.75,2.68%,05 أغسطس 2019
16,أسمنت العربية,3010,المواد الأساسية,29.7,0.17%,05 أغسطس 2019
17,أسمنت اليمامة,3020,المواد الأساسية,19.5,0.52%,05 أغسطس 2019
18,اللجين,2170,المواد الأساسية,22.7,-0.87%,05 أغسطس 2019
19,أسمنت السعودية,3030,المواد الأساسية,70.1,-1.68%,05 أغسطس 2019
20,سامبا,1090,البنوك,29.8,-1.16%,05 أغسطس 2019
21,السعودي الفرنسي,1050,البنوك,37.5,-3.47%,05 أغسطس 2019
22,الأول,1040,البنوك,19.58,1.45%,13 يونيو 2019
23,الجزيرة,1020,البنوك,14.74,-2.12%,05 أغسطس 2019
24,الرياض,1010,البنوك,25.05,-1.96%,05 أغسطس 2019
25,ساب,1060,البنوك,36.85,-3.79%,05 أغسطس 2019
26,العربي,1080,البنوك,25.35,-1.36%,05 أغسطس 2019
27,الراجحي,1120,البنوك,66.3,-0.90%,05 أغسطس 2019
28,سيسكو,2190,النقل,15.22,-3.55%,05 أغسطس 2019
29,المصافي,2030,الطاقة,38,-0.91%,05 أغسطس 2019
30,زجاج,2150,المواد الأساسية,18,-0.66%,05 أغسطس 2019
31,نادك,6010,إنتاج الأغذية,24.3,-0.65%,05 أغسطس 2019
32,جاكو,6020,إنتاج الأغذية,11.66,-0.34%,05 أغسطس 2019
33,تبوك الزراعية,6040,إنتاج الأغذية,8.82,0.57%,05 أغسطس 2019
34,دور,4010,الخدمات الإستهلاكية,18.24,-0.33%,05 أغسطس 2019
